URI	membersInSweden	members	label
http://www.wikidata.org/entity/Q102496	18	15168	parish
http://www.wikidata.org/entity/Q358	1	15095	heritage site
http://www.wikidata.org/entity/Q212198	6	15062	pub
http://www.wikidata.org/entity/Q842402	0	14884	Hindu temple
http://www.wikidata.org/entity/Q928830	108	14872	metro station
http://www.wikidata.org/entity/Q2732840	0	14811	Gram panchayat
http://www.wikidata.org/entity/Q174782	333	14797	square
http://www.wikidata.org/entity/Q35509	32	14732	cave
http://www.wikidata.org/entity/Q166735	490	14693	swamp
http://www.wikidata.org/entity/Q20541692	0	14552	settlement in Galicia, Spain
http://www.wikidata.org/entity/Q3508250	0	14334	Syndicat intercommunal
http://www.wikidata.org/entity/Q3957	36	14212	town
http://www.wikidata.org/entity/Q50231	0	13989	administrative territorial entity of the People's Republic of China
http://www.wikidata.org/entity/Q728937	227	13815	railway line
http://www.wikidata.org/entity/Q12317349	2	13641	main library
http://www.wikidata.org/entity/Q459297	0	13596	qanat
http://www.wikidata.org/entity/Q16560	15	13277	palace
http://www.wikidata.org/entity/Q179049	5191	13198	nature reserve
http://www.wikidata.org/entity/Q44613	77	12744	monastery
http://www.wikidata.org/entity/Q27686	125	12560	hotel
http://www.wikidata.org/entity/Q20202352	0	12404	locality of Mexico
http://www.wikidata.org/entity/Q187223	113	12228	lagoon
http://www.wikidata.org/entity/Q1115575	0	12182	civil parish
http://www.wikidata.org/entity/Q160091	4	11987	plain
http://www.wikidata.org/entity/Q11755880	7	11892	residential building
http://www.wikidata.org/entity/Q953806	5	11846	bus stop
http://www.wikidata.org/entity/Q24354	93	11752	theatre
http://www.wikidata.org/entity/Q61089180	0	11513	part of municipality in the Czech Republic
http://www.wikidata.org/entity/Q61278455	0	11383	health sub-centre
http://www.wikidata.org/entity/Q965568	0	11037	kelurahan
http://www.wikidata.org/entity/Q2231510	0	10981	col
http://www.wikidata.org/entity/Q34038	53	10832	waterfall
http://www.wikidata.org/entity/Q15243209	0	10636	historic district
http://www.wikidata.org/entity/Q14659	345	10521	Coat of arms
http://www.wikidata.org/entity/Q1497375	5517	10279	architectural ensemble
http://www.wikidata.org/entity/Q1081138	0	10273	historic site
http://www.wikidata.org/entity/Q46686	1	10138	reredos
http://www.wikidata.org/entity/Q4414033	0	10099	rural council of Ukraine
http://www.wikidata.org/entity/Q607241	5	10086	clergy house
http://www.wikidata.org/entity/Q1244442	12	10054	school building
http://www.wikidata.org/entity/Q2389082	0	9967	rural commune of Vietnam
http://www.wikidata.org/entity/Q721747	1	9954	commemorative plaque
http://www.wikidata.org/entity/Q811534	5	9949	remarkable tree
http://www.wikidata.org/entity/Q184358	688	9871	reef
http://www.wikidata.org/entity/Q498162	0	9827	census-designated place
http://www.wikidata.org/entity/Q2319498	9	9818	landmark
http://www.wikidata.org/entity/Q1362233	0	9771	Upper Lusatian house
http://www.wikidata.org/entity/Q11396180	0	9767	library branch
http://www.wikidata.org/entity/Q1093829	0	9748	city of the United States
http://www.wikidata.org/entity/Q262166	0	9631	municipality of Germany
http://www.wikidata.org/entity/Q479053	0	9563	gromada of Poland
http://www.wikidata.org/entity/Q32815	19	9452	mosque
http://www.wikidata.org/entity/Q1500350	0	9373	township of the People's Republic of China
http://www.wikidata.org/entity/Q879050	492	9349	manor house
http://www.wikidata.org/entity/Q131596	548	9292	farm
http://www.wikidata.org/entity/Q759421	0	9237	nature reserve
http://www.wikidata.org/entity/Q986065	0	9208	subdistrict of China
http://www.wikidata.org/entity/Q483453	30	9182	fountain
http://www.wikidata.org/entity/Q537127	79	9152	road bridge
http://www.wikidata.org/entity/Q515	8	9107	city
http://www.wikidata.org/entity/Q21503788	0	9087	Landschaftsschutzgebiet
http://www.wikidata.org/entity/Q42948	1	9066	wall
http://www.wikidata.org/entity/Q5003624	8	9022	memorial
http://www.wikidata.org/entity/Q190107	0	8991	weather station
http://www.wikidata.org/entity/Q173387	3613	8954	grave
http://www.wikidata.org/entity/Q17051044	0	8913	mahalle
http://www.wikidata.org/entity/Q35666	166	8873	glacier
http://www.wikidata.org/entity/Q35054	2	8769	post office
http://www.wikidata.org/entity/Q3700011	0	8744	kecamatan
http://www.wikidata.org/entity/Q654476	0	8637	khachkar
http://www.wikidata.org/entity/Q3253281	12	8498	pond
http://www.wikidata.org/entity/Q13226383	33	8430	facility
http://www.wikidata.org/entity/Q107679	10	8430	cliff
http://www.wikidata.org/entity/Q23012917	0	8367	village of Burkina Faso
http://www.wikidata.org/entity/Q3240003	3	8327	bus route
http://www.wikidata.org/entity/Q28337	759	8312	shoal
http://www.wikidata.org/entity/Q39715	1727	8178	lighthouse
http://www.wikidata.org/entity/Q684740	1	8150	real property
http://www.wikidata.org/entity/Q7930614	0	7955	village of Taiwan
http://www.wikidata.org/entity/Q747074	0	7872	comune of Italy
http://www.wikidata.org/entity/Q483110	63	7553	stadium
http://www.wikidata.org/entity/Q1076486	277	7516	sports venue
http://www.wikidata.org/entity/Q17143723	1	7471	catholic parish
http://www.wikidata.org/entity/Q28931760	0	7412	parish of New South Wales
http://www.wikidata.org/entity/Q55678	7	7408	railway stop
http://www.wikidata.org/entity/Q101687	1	7266	altar
http://www.wikidata.org/entity/Q1077097	0	7257	tambon
http://www.wikidata.org/entity/Q543654	13	7195	city hall
http://www.wikidata.org/entity/Q22808404	52	7113	station located on surface
http://www.wikidata.org/entity/Q56061	8	7097	administrative territorial entity
http://www.wikidata.org/entity/Q2074737	0	6982	municipality of Spain
http://www.wikidata.org/entity/Q3395121	0	6937	wayside shrine
http://www.wikidata.org/entity/Q5393308	1	6907	Buddhist temple
http://www.wikidata.org/entity/Q44539	7	6884	temple
http://www.wikidata.org/entity/Q317557	5	6879	parish church
http://www.wikidata.org/entity/Q30092776	6751	6751	lake water body
http://www.wikidata.org/entity/Q188509	6	6701	suburb
http://www.wikidata.org/entity/Q4285979	0	6688	gampong
http://www.wikidata.org/entity/Q2175765	195	6589	tram stop
http://www.wikidata.org/entity/Q1210950	59	6572	channel
http://www.wikidata.org/entity/Q502074	5	6547	heliport
